Ticker,Company Name,Sector,Industry,Exchange,P/BV,P/Tangible BV,P/E,EV/EBITDA,PEG Ratio,P/S,EV/Revenue,EVtoIC,P/Graham Number,P/FCF,P/oFCF,Earnings Yield,Earning Value,COGP,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Inventory Turnover GR,Days Inventory,Days Inventory GR,Days Payable,Days Payable GR,V score,V warnings
CVI,"CVR Energy, Inc",Energy,Oil & Gas Refining & Marketing,NYSE,1.08,2.79,0.0,5.36,0,0.34,1.08,1.74,,79.21,9.65,-1.97%,26.46%,11.24%,2.17,1.4,1.63,14.71,1.14% (3GR),24.82,-1.12% (3GR),26.56,6.82% (4GR),9.5/12.0,0
DRQ,"Dril-Quip, Inc",Energy,Oil & Gas Equipment & Services,NYSE,0.98,1.61,0.0,28.77,0,2.76,3.35,1.76,,-118.48,266.58,-0.23%,2000.00%,-52.14%,9.08,6.68,0.35,1.49,16.79% (3GR),244.98,-14.38% (3GR),56.92,19.70% (4GR),6.5/12.0,4
RES,"RPC, Inc",Energy,Oil & Gas Equipment & Services,NYSE,0.8,1.39,0.0,18.33,0,0.97,1.6,1.21,,8.67,3.91,-9.64%,-243.90%,-16.70%,4.31,3.12,1.09,7.97,14.93% (3GR),45.82,-12.99% (3GR),21.03,-7.70% (4GR),7.0/12.0,3
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Equipment & Services,NASDAQ,0.47,0.54,0.0,5.31,0,0.44,0.34,0.4,,1.68,1.48,-32.26%,-151.52%,64.74%,3.59,2.91,1.05,0.0,0.00% (3GR),0.0,0.00% (3GR),66.36,2.52% (4GR),12.0/12.0,0
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,NYSE,1.75,1.3,98.99,13.21,0,1.82,0.57,0.91,296.59%,-84.85,169.7,1.89%,526.32%,-2.96%,2.57,2.1,0.6,3.06,-24.65% (3GR),119.13,32.73% (3GR),70.97,7.10% (4GR),7.0/12.0,4
NOV,NOV Inc,Energy,Oil & Gas Equipment & Services,NYSE,0.68,2.31,0.0,-1.92,0,0.75,1.59,1.06,,5.42,4.35,-1.30%,-6.27%,-36.89%,2.72,1.63,0.51,2.95,16.96% (3GR),123.91,-14.50% (3GR),34.19,17.03% (4GR),11.0/12.0,0
APOG,"Apogee Enterprises, Inc",Industrials,Building Products & Equipment,NASDAQ,1.9,4.16,14.21,7.78,0,0.78,0.83,1.11,184.79%,6.7,5.66,9.05%,43.10%,-14.24%,1.38,1.03,1.26,14.34,2.96% (3GR),25.46,-2.88% (3GR),23.58,-7.50% (4GR),7.0/12.0,2
LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,NYSE,4.24,4.07,21.56,32.34,0,1.7,1.54,2.58,221.71%,12.32,9.57,10.02%,-2500.00%,-9.94%,2.54,1.41,1.06,7.46,-2.36% (3GR),48.92,2.41% (3GR),23.1,9.54% (4GR),5.5/12.0,6
FLR,Fluor Corporation,Industrials,Engineering & Construction,NYSE,1.5,2.52,0.0,-2.32,0,0.17,0.18,0.59,,12.78,7.55,-0.88%,-9.20%,-3.60%,1.4,1.01,1.7,0.0,8.79% (3GR),0.0,-33.54% (3GR),33.55,5.29% (4GR),6.5/12.0,3
SUM,"Summit Materials, Inc",Basic Materials,Building Materials,NYSE,1.6,13.24,16.59,10.32,0,1.01,1.91,1.22,286.42%,10.7,5.85,5.08%,192.31%,7.10%,2.66,1.93,0.56,7.28,-0.74% (3GR),50.11,0.75% (3GR),27.75,-1.86% (4GR),7.5/12.0,3
GFF,Griffon Corporation,Industrials,Tools & Accessories,NYSE,1.52,-8.94,19.93,8.83,0,0.44,0.78,0.98,,12.49,7.93,8.28%,84.03%,-16.96%,2.48,1.45,1.06,4.13,0.65% (3GR),88.46,-0.65% (3GR),47.95,-1.35% (4GR),14.5/12.0,0
HIL,"Hill International, Inc",Industrials,Engineering & Construction,NYSE,1.0,2.9,17.85,8.44,0,0.3,0.63,1.23,116.93%,10.94,8.42,5.70%,400.00%,-34.72%,1.87,1.72,1.41,0.0,0.00% (3GR),0.0,0.00% (3GR),32.12,-2.33% (4GR),11.5/12.0,1
PLPC,Preformed Line Products Company,Industrials,Electrical Equipment & Parts,NASDAQ,1.27,1.32,10.43,7.11,0,0.74,0.72,0.96,83.98%,42.78,8.56,14.06%,21.83%,-20.34%,2.86,1.51,1.12,3.36,2.21% (3GR),108.66,-2.16% (3GR),33.62,2.93% (4GR),12.5/12.0,1
EML,The Eastern Company,Industrials,Tools & Accessories,NASDAQ,1.38,-25.61,16.46,10.89,0,0.58,1.09,1.13,,6.57,5.36,6.24%,47.17%,-16.27%,3.6,1.75,1.09,3.52,6.55% (3GR),103.74,-6.14% (3GR),38.42,7.92% (4GR),11.5/12.0,2
ULBI,Ultralife Corporation,Industrials,Specialty Industrial Machinery,NASDAQ,0.94,1.62,21.51,12.82,0,0.94,1.17,1.03,118.58%,5.18,4.5,5.46%,312.50%,-26.29%,4.09,2.18,0.81,2.87,5.71% (3GR),127.27,-5.40% (3GR),43.22,2.41% (4GR),12.0/12.0,1
FCEL,"FuelCell Energy, Inc",Industrials,Electrical Equipment & Parts,NASDAQ,15.85,1.93,0.0,-8.83,0,56.69,6.72,1.37,,-108.78,0.0,-8.18%,-238.10%,-99.33%,3.97,2.84,0.17,1.49,6.15% (3GR),244.87,-5.79% (3GR),46.2,-9.46% (4GR),5.0/12.0,4
