Ticker,Company Name,Sector,Industry,Exchange,P/BV,P/Tangible BV,P/E,EV/EBITDA,PEG Ratio,P/S,EV/Revenue,EVtoIC,P/Graham Number,P/FCF,P/oFCF,Earnings Yield,Earning Value,COGP,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Inventory Turnover GR,Days Inventory,Days Inventory GR,Days Payable,Days Payable GR,V score,V warnings
EBF,"Ennis, Inc",Industrials,Business Equipment & Supplies,NYSE,1.65,3.23,17.5,6.42,0,1.3,1.2,1.6,157.33%,9.72,9.0,8.23%,68.03%,-2.57%,3.95,2.93,1.2,8.83,-0.76% (3GR),41.34,0.77% (3GR),20.08,0.87% (4GR),11.5/12.0,1
DCI,"Donaldson Company, Inc",Industrials,Specialty Industrial Machinery,NYSE,7.7,10.18,30.04,15.02,0,2.99,2.6,3.87,411.06%,23.54,17.68,5.13%,50.00%,-5.69%,2.7,1.7,1.18,5.21,-3.74% (3GR),70.01,3.89% (3GR),40.13,2.74% (4GR),3.5/12.0,8
RAVN,"Raven Industries, Inc",Industrials,Specialty Industrial Machinery,NASDAQ,4.07,6.89,58.88,19.66,0,3.63,3.11,3.11,457.39%,25.67,20.37,2.00%,103.09%,-6.52%,3.76,2.23,1.0,4.8,1.63% (3GR),76.1,-1.60% (3GR),21.14,12.99% (4GR),3.5/12.0,8
AZZ,AZZ Inc,Industrials,Electrical Equipment & Parts,NYSE,2.0,5.52,98.47,8.94,0,1.43,1.3,1.27,572.38%,13.77,9.6,6.41%,54.35%,-11.27%,1.26,0.88,0.98,7.33,-1.65% (3GR),49.77,1.68% (3GR),27.43,1.04% (4GR),8.0/12.0,3
LXFR,Luxfer Holdings PLC,Industrials,Specialty Industrial Machinery,NYSE,2.62,5.46,42.79,20.45,0,1.19,1.55,1.86,313.46%,9.71,8.15,5.73%,909.09%,-13.81%,2.38,0.95,1.14,3.57,-0.78% (3GR),102.11,0.79% (3GR),39.11,3.50% (4GR),4.5/12.0,4
POWL,"Powell Industries, Inc",Industrials,Electrical Equipment & Parts,NASDAQ,1.2,0.94,21.64,3.64,0,0.71,0.22,0.45,107.52%,5.5,5.12,17.74%,70.42%,-2.68%,2.19,1.96,1.1,14.62,-2.15% (3GR),24.96,2.20% (3GR),30.13,2.91% (4GR),14.0/12.0,0
AAL,American Airlines Group Inc,Industrials,Airlines,NASDAQ,-60.14,-2.02,0.0,7.46,0,0.29,1.72,0.66,,-1.18,0.0,-18.65%,26.39%,34.51%,0.45,0.3,0.76,20.98,-10.07% (3GR),17.4,11.20% (3GR),21.27,0.52% (4GR),6.0/12.0,1
HL,Hecla Mining Company,Basic Materials,Gold,NYSE,1.99,0.98,0.0,16.49,0,4.63,2.92,0.86,,35.47,19.48,3.01%,-500.00%,-10.92%,1.53,0.86,0.25,8.44,-4.88% (3GR),43.24,5.14% (3GR),32.57,-6.48% (4GR),6.0/12.0,5
TRQ,Turquoise Hill Resources Ltd,Basic Materials,Copper,NYSE,0.27,0.16,6.87,-22.86,0,2.79,3.14,0.26,28.66%,-1.89,0.0,-0.28%,-142.86%,15.93%,4.74,4.21,0.09,3.55,6.14% (3GR),102.92,-5.78% (3GR),191.1,34.22% (4GR),10.5/12.0,1
UUUU,Energy Fuels Inc,Energy,Uranium,NYSE MKT,3.79,1.44,0.0,-5.35,0,240.69,93.68,1.22,,-13.75,0.0,-13.88%,-250.00%,-579.93%,1.91,0.83,0.03,0.2,-47.31% (3GR),1825.0,89.87% (3GR),182.5,53.47% (4GR),4.0/12.0,4
NEM,Newmont Corporation,Basic Materials,Gold,NYSE,2.26,1.68,18.97,6.19,0,4.38,3.32,1.01,141.28%,15.82,11.02,6.88%,26.25%,13.37%,2.63,1.2,0.32,8.7,1.05% (3GR),41.93,-1.04% (3GR),27.5,1.94% (4GR),7.5/12.0,3
EGO,Eldorado Gold Corporation,Basic Materials,Gold,NYSE,0.67,0.39,13.01,5.38,0,2.44,1.79,0.39,60.58%,13.04,5.99,12.80%,200.00%,-10.17%,1.97,1.12,0.13,3.24,21.86% (3GR),112.57,-17.94% (3GR),50.11,-16.35% (4GR),10.5/12.0,1
KL,Kirkland Lake Gold Ltd,Basic Materials,Gold,NYSE,5.79,5.07,14.51,8.8,0,4.83,3.91,4.63,176.04%,16.63,9.22,13.37%,37.74%,62.77%,1.91,1.77,0.65,11.05,1.43% (3GR),33.05,-1.40% (3GR),100.64,43.87% (4GR),6.5/12.0,3
KGC,Kinross Gold Corporation,Basic Materials,Gold,NYSE,1.75,1.15,8.62,4.1,0,2.32,1.81,0.91,83.01%,12.81,5.52,19.97%,175.44%,5.05%,2.96,1.16,0.41,2.04,-11.48% (3GR),178.93,12.97% (3GR),15.12,16.33% (4GR),10.5/12.0,2
BTG,B2Gold Corp,Basic Materials,Gold,NYSE MKT,2.96,2.02,9.14,5.54,0,3.63,2.59,1.75,107.50%,10.31,6.54,17.92%,344.83%,15.00%,2.47,1.15,0.44,3.12,-13.74% (3GR),117.01,15.93% (3GR),42.97,-3.15% (4GR),8.5/12.0,2
AGI,Alamos Gold Inc,Basic Materials,Gold,NYSE,1.28,0.87,33.29,7.23,0,4.88,3.02,0.7,138.15%,246.88,10.97,8.78%,416.67%,3.07%,3.1,1.95,0.21,4.4,11.54% (3GR),83.02,-10.32% (3GR),82.67,2.99% (4GR),7.0/12.0,4
GORO,Gold Resource Corporation,Basic Materials,Gold,NYSE MKT,1.25,2.22,0.0,9.12,0,1.51,2.65,2.18,,24.71,6.38,0.58%,1111.11%,0.89%,1.81,0.86,0.79,5.58,-6.10% (3GR),65.42,6.50% (3GR),48.21,-5.47% (4GR),8.0/12.0,2
GFI,Gold Fields Limited,Basic Materials,Gold,NYSE,2.84,1.95,32.02,6.8,0,2.36,2.16,1.13,199.47%,17.85,8.42,14.34%,526.32%,16.07%,0.81,0.44,0.47,5.36,-6.90% (3GR),68.08,7.42% (3GR),23.91,-7.89% (4GR),5.5/12.0,4
NEE,"NextEra Energy, Inc",Utilities,Utilities-Regulated Electric,NYSE,4.1,3.57,38.94,15.29,0,8.34,8.88,1.36,283.65%,70.81,17.76,3.00%,51.55%,54.82%,0.53,0.25,0.17,6.27,1.76% (3GR),58.17,-1.72% (3GR),165.6,8.61% (4GR),1.5/12.0,7
