Ticker,Company Name,Sector,Industry,Exchange,Cash/Debt,Interest Coverage,Equity/Assets,Debt/Equity,Debt/Assets,Debt/EBITDA,F-Score,Z-Score,M-Score,WACC,RoC,FS score,FS warnings
INT,World Fuel Services Corporation,Energy,Oil & Gas Refining & Marketing,NYSE,0.3,3.99,31.54%,33.28%,12.77%,155.31%,8,7.19,-2.55,8.37%,8.83%,5.75/8.0,1
MMP,"Magellan Midstream Partners, L.P",Energy,Oil & Gas Midstream,NYSE,0.01,5.12,0.00%,0.00%,56.45%,320.14%,4,1.63,-2.57,6.22%,13.27%,3.25/8.0,2
GNE,Genie Energy Ltd,Utilities,Utilities-Regulated Electric,NYSE,6.2,10.0,60.90%,5.26%,3.65%,50.00%,8,3.9,-2.58,4.97%,3.47%,7.25/8.0,1
KMI,"Kinder Morgan, Inc",Energy,Oil & Gas Midstream,NYSE,0.03,2.18,45.50%,101.63%,68.54%,464.85%,4,0.56,-2.81,5.04%,3.64%,1.75/8.0,3
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,NYSE,0.16,15.95,47.94%,56.72%,0.00%,89.64%,5,3.47,-4.1,1.94%,16.27%,5.5/8.0,1
SBR,Sabine Royalty Trust,Energy,Oil & Gas E&P,NYSE,,,85.71%,0.00%,0.00%,0.00%,3,281.09,26.1,4.45%,550.00%,4.0/8.0,2
CVI,"CVR Energy, Inc",Energy,Oil & Gas Refining & Marketing,NYSE,0.57,5.65,35.67%,81.41%,0.00%,128.86%,3,2.56,-2.99,10.31%,15.09%,2.0/8.0,2
DRQ,"Dril-Quip, Inc",Energy,Oil & Gas Equipment & Services,NYSE,inf,,90.39%,0.00%,0.00%,0.00%,3,8.02,-2.4,9.98%,0.14%,4.75/8.0,2
RES,"RPC, Inc",Energy,Oil & Gas Equipment & Services,NYSE,inf,No Debt,78.82%,0.00%,0.00%,0.00%,3,4.33,-3.23,13.19%,-3.89%,6.0/8.0,2
DWSN,Dawson Geophysical Company,Energy,Oil & Gas Equipment & Services,NASDAQ,7.0,No Debt,80.47%,3.88%,0.00%,57.14%,5,1.85,-3.28,10.23%,-16.24%,6.0/8.0,1
GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,NYSE,inf,,65.54%,0.00%,0.00%,0.00%,3,4.13,-2.3,5.80%,1.34%,4.75/8.0,2
NOV,NOV Inc,Energy,Oil & Gas Equipment & Services,NYSE,0.59,Exposed,59.15%,25.57%,20.96%,-34.12%,6,1.52,-2.76,9.55%,-3.34%,4.75/8.0,3
APOG,"Apogee Enterprises, Inc",Industrials,Building Products & Equipment,NASDAQ,0.07,11.0,45.79%,41.97%,27.02%,160.74%,7,3.02,-2.72,6.87%,7.41%,6.5/8.0,1
LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,NYSE,0.52,4.47,54.01%,35.02%,0.00%,296.58%,7,5.33,-1.87,11.04%,5.23%,5.5/8.0,3
FLR,Fluor Corporation,Industrials,Engineering & Construction,NYSE,1.19,Exposed,18.68%,113.64%,0.00%,-163.86%,5,2.27,-4.38,11.75%,-13.24%,3.0/8.0,3
SUM,"Summit Materials, Inc",Basic Materials,Building Materials,NYSE,0.17,1.83,35.08%,130.27%,65.34%,444.74%,7,1.36,-2.68,6.56%,4.73%,1.75/8.0,3
