Name,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/Free Cash Flow,Dividend Yield,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Float Short,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Analyst Recom,Change,Stocks
Thermal Coal,2.33023,91.44,12.96,,0.23,0.58,1.58,10.58,0.0358,0.0116,-0.0528,-0.056900000000000006,0.0545,0.1746,0.409,0.25730000000000003,-0.022000000000000002,-0.5086999999999999,-0.51,2.36,0.0661,10
Textile Manufacturing,2.8262199999999997,25.05,24.32,33.43,1.37,2.32,8.32,23.26,0.0102,0.175,0.0075,0.0526,0.014199999999999999,0.061,0.3232,0.439,0.18780000000000002,-0.121,-0.0633,2.16,0.0124,4
Telecom Services,1386.52729,12.04,14.28,2.94,1.39,1.55,8.07,23.16,0.0397,0.1449,0.0409,0.0385,0.013300000000000001,0.0154,0.0395,0.0466,0.0638,0.0318,0.0021,2.23,0.0051,66
Steel,111.53835000000001,29.28,11.06,13.53,0.56,0.96,3.38,8.12,0.0176,0.1207,0.0216,0.0005,0.0298,0.0637,0.254,0.4498,0.5357,0.17079999999999998,0.1575,2.16,0.0054,23
Staffing & Employment Services,149.14498,30.69,26.04,3.59,2.14,7.35,13.81,30.2,0.0195,0.161,0.08539999999999999,0.0737,0.0231,0.0067,0.079,0.2726,0.1886,0.0787,0.060899999999999996,2.73,0.0034999999999999996,27
Specialty Retail,225.41892,25.98,18.42,2.23,1.06,6.97,9.49,12.05,0.0077,0.1273,0.1167,0.064,0.1195,-0.0158,0.011699999999999999,0.0363,0.204,0.16,0.1353,2.32,0.0034000000000000002,48
Specialty Industrial Machinery,1045.12787,31.79,25.56,7.47,2.58,4.97,10.26,36.51,0.0161,0.05,0.0426,0.0067,0.0138,0.0159,0.09720000000000001,0.1893,0.27,0.16390000000000002,0.1351,2.41,0.0102,82
Specialty Chemicals,456.15988,44.38,24.52,4.67,2.5,4.14,20.51,43.62,0.0147,0.0358,0.095,0.0998,0.0408,-0.0063,0.057300000000000004,0.1018,0.1909,0.1779,0.1465,2.32,0.0062,52
Specialty Business Services,162.65317000000002,54.1,28.37,3.51,3.01,3.71,23.05,46.98,0.004699999999999999,0.11689999999999999,0.1542,0.11560000000000001,0.0317,0.0108,0.0599,0.13970000000000002,0.19210000000000002,0.215,0.1722,2.05,0.0062,35
Solar,72.41668,59.16,49.03,2.54,3.84,5.38,12.85,139.94,,0.21760000000000002,0.2325,0.1832,0.1316,0.0023,0.07719999999999999,0.49700000000000005,1.401,2.3829,2.0907,2.48,0.033,15
Software-Infrastructure,2846.3913399999997,42.16,31.44,2.7,9.74,12.99,12.14,44.88,0.0073,0.2757,0.156,0.1444,0.030699999999999998,0.015300000000000001,0.0104,0.0812,0.16940000000000002,0.4604,0.41700000000000004,1.9,0.0078000000000000005,89
Software-Application,1976.5431999999998,110.27,65.37,5.59,10.84,10.23,18.85,75.5,0.0018,0.0975,0.1974,0.32270000000000004,0.0521,0.0319,0.0768,0.1552,0.3049,0.6222,0.5899,2.19,0.0079,186
Silver,13.774059999999999,147.89,18.5,4.22,6.25,2.8,22.02,40.43,0.004699999999999999,0.0803,0.3506,0.098,0.0604,0.013600000000000001,-0.1374,-0.0943,0.16920000000000002,0.469,0.2477,2.16,-0.0103,7
Shell Companies,83.54641000000001,,815.88,,137.28,5.12,48.39,,,0.0736,0.4073,,0.032400000000000005,0.0499,0.17600000000000002,0.257,0.33149999999999996,2.721,2.5059,2.17,0.0215,177
Semiconductors,2113.51631,33.33,22.98,1.84,6.5,6.8,16.97,51.88,0.013600000000000001,0.1553,0.1816,0.0987,0.018600000000000002,0.0326,0.08810000000000001,0.22899999999999998,0.3921,0.6212,0.5145000000000001,2.29,-0.0021,64
Semiconductor Equipment & Materials,470.59373,36.91,26.18,1.91,7.11,9.69,18.14,52.78,0.0074,0.2504,0.1928,0.1325,0.0233,0.054400000000000004,0.1857,0.4549,0.44530000000000003,0.6943,0.5716,2.09,0.0026,30
Security & Protection Services,39.557430000000004,68.59,18.73,8.57,1.82,4.51,12.49,26.95,0.009399999999999999,0.2235,0.08,0.0398,0.0383,0.0316,0.1629,0.134,0.1862,0.0659,0.0661,2.4,0.0165,22
Scientific & Technical Instruments,170.22016,41.64,25.45,4.38,3.88,4.27,13.83,27.9,0.0043,0.0611,0.0951,0.08220000000000001,0.053,0.0316,0.11,0.2193,0.2325,0.2376,0.2011,2.13,0.0079,35
Restaurants,474.95026,43.11,28.01,2.24,3.83,18.94,24.57,133.13,0.0172,0.10289999999999999,0.192,0.012,0.0351,-0.0033,0.037599999999999995,0.0706,0.1702,0.1288,0.1152,2.22,-0.0009,50
Resorts & Casinos,138.22571,93.1,55.11,27.99,3.6,5.42,7.2,142.77,0.0021,0.1084,0.0333,0.09880000000000001,0.0499,0.0616,0.2162,0.2698,0.3691,0.0836,0.0013,2.22,0.0092,20
Residential Construction,109.31972,11.12,8.81,1.03,0.84,1.7,7.23,9.29,0.0091,0.20329999999999998,0.1081,0.1663,0.0345,-0.0106,-0.0212,-0.0106,0.1993,0.1597,0.20809999999999998,2.29,-0.038599999999999995,23
