Ticker,Company Name,Sector,Industry,Exchange,Currency,Price,Market Cap (Millions),Beta,P/Graham Number,Earnings Yield,F-Score,Z-Score,M-Score,P/BV,P/E,EV/EBITDA,P/Operating CF,PEG Ratio,P/S,EV/Revenue,Debt/Equity,Interest Coverage,Dividend Yield,Payout Ratio,RoA,RoE,RoC,WACC,Profit Margin,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Financial Score,Profitability Score,Valuation Score,Warnings
POWL,"Powell Industries, Inc",Industrials,Electrical Equipment & Parts,NASDAQ,USD,30.69,368.28,1.25,107.52%,17.74%,3,3.91,-3.41,1.2,21.64,3.64,5.12,0,0.71,0.22,0.0,,3.39%,73.20%,3.55%,5.50%,6.07%,8.18%,3.21%,2.19,1.96,1.1,14.62,6.0/8.0,3.0/9.0,14.0/12.0,10
AAL,American Airlines Group Inc,Industrials,Airlines,NASDAQ,USD,15.82,7096.5,1.82,,-18.65%,2,0.83,-2.64,-60.14,0.0,7.46,0.0,0,0.29,1.72,-206.06,3.37,1.26%,0.00%,2.80%,0.00%,4.28%,4.04%,3.68%,0.45,0.3,0.76,20.98,2.75/8.0,3.5/9.0,6.0/12.0,12
HL,Hecla Mining Company,Basic Materials,Gold,NYSE,USD,5.39,3369.6,2.15,,3.01%,7,2.13,0.37,1.99,0.0,16.49,19.48,0,4.63,2.92,0.3,Exposed,0.19%,0.00%,-3.75%,-5.92%,-1.59%,13.02%,-14.87%,1.53,0.86,0.25,8.44,2.5/8.0,5.0/9.0,6.0/12.0,16
TRQ,Turquoise Hill Resources Ltd,Basic Materials,Copper,NYSE,USD,11.25,2496.42,1.92,28.66%,-0.28%,2,0.31,-2.15,0.27,6.87,-22.86,0.0,0,2.79,3.14,0.46,34.6,0.00%,0.00%,-1.15%,-1.63%,1.57%,4.65%,-12.90%,4.74,4.21,0.09,3.55,3.0/8.0,4.5/9.0,10.5/12.0,12
UUUU,Energy Fuels Inc,Energy,Uranium,NYSE MKT,USD,3.94,481.38,1.27,,-13.88%,4,2.62,1.12,3.79,0.0,-5.35,0.0,0,240.69,93.68,0.13,No Debt,0.00%,0.00%,-20.39%,-28.34%,-17.33%,8.29%,-647.54%,1.91,0.83,0.03,0.2,5.0/8.0,3.0/9.0,4.0/12.0,16
NEM,Newmont Corporation,Basic Materials,Gold,NYSE,USD,61.75,48510.9,0.15,141.28%,6.88%,6,2.11,-2.14,2.26,18.97,6.19,11.02,0,4.38,3.32,0.29,5.12,1.26%,26.70%,9.24%,17.57%,4.50%,1.82%,28.80%,2.63,1.2,0.32,8.7,2.5/8.0,8.0/9.0,7.5/12.0,6
EGO,Eldorado Gold Corporation,Basic Materials,Gold,NYSE,USD,11.13,2295.71,1.62,60.58%,12.80%,7,0.64,-2.18,0.67,13.01,5.38,5.99,0,2.44,1.79,0.14,1.23,0.00%,0.00%,1.74%,2.41%,0.81%,9.70%,13.04%,1.97,1.12,0.13,3.24,3.5/8.0,6.5/9.0,10.5/12.0,9
KL,Kirkland Lake Gold Ltd,Basic Materials,Gold,NYSE,USD,40.17,10523.85,0.65,176.04%,13.37%,6,10.77,-3.36,5.79,14.51,8.8,9.22,0,4.83,3.91,0.0,,1.07%,15.30%,26.25%,36.37%,35.81%,4.62%,40.59%,1.91,1.77,0.65,11.05,6.0/8.0,10.5/9.0,6.5/12.0,3
KGC,Kinross Gold Corporation,Basic Materials,Gold,NYSE,USD,7.01,9299.78,1.09,83.01%,19.97%,7,0.83,-2.43,1.75,8.62,4.1,5.52,0,2.32,1.81,0.35,12.47,0.43%,3.50%,8.39%,14.63%,9.40%,6.26%,20.55%,2.96,1.16,0.41,2.04,5.25/8.0,8.0/9.0,10.5/12.0,6
BTG,B2Gold Corp,Basic Materials,Gold,NYSE MKT,USD,5.05,5885.6,1.3,107.50%,17.92%,6,5.92,-0.99,2.96,9.14,5.54,6.54,0,3.63,2.59,0.13,13.78,1.58%,13.10%,11.22%,16.29%,10.13%,8.23%,25.39%,2.47,1.15,0.44,3.12,5.5/8.0,9.5/9.0,8.5/12.0,5
AGI,Alamos Gold Inc,Basic Materials,Gold,NYSE,USD,7.95,3456.25,1.23,138.15%,8.78%,6,2.93,-3.8,1.28,33.29,7.23,10.97,0,4.88,3.02,0.0,,0.75%,21.10%,2.89%,3.63%,3.13%,8.19%,14.07%,3.1,1.95,0.21,4.4,4.0/8.0,9.0/9.0,7.0/12.0,7
GORO,Gold Resource Corporation,Basic Materials,Gold,NYSE MKT,USD,2.7,197.65,1.92,,0.58%,4,4.61,-0.4,1.25,0.0,9.12,6.38,0,1.51,2.65,0.01,,1.48%,0.00%,3.40%,4.09%,4.17%,11.87%,4.31%,1.81,0.86,0.79,5.58,4.5/8.0,5.5/9.0,8.0/12.0,10
