Ticker,Company Name,Sector,Industry,Exchange,Currency,Price,Market Cap (Millions),Beta,P/Graham Number,Earnings Yield,F-Score,Z-Score,M-Score,P/BV,P/E,EV/EBITDA,P/Operating CF,PEG Ratio,P/S,EV/Revenue,Debt/Equity,Interest Coverage,Dividend Yield,Payout Ratio,RoA,RoE,RoC,WACC,Profit Margin,Current Ratio,Quick Ratio,Asset Turnover,Inventory Turnover,Financial Score,Profitability Score,Valuation Score,Warnings
CINR,Ciner Resources LP,Basic Materials,Chemicals,NYSE,USD,13.5,239.21,1.02,,7.56%,4,2.46,-2.91,inf,15.06,4.12,2.75,0,0.58,1.34,0.0,17.83,7.56%,122.90%,10.46%,29.76%,26.49%,6.34%,9.30%,3.06,2.59,1.13,17.04,3.0/8.0,4.5/9.0,10.0/12.0,8
BKEP,"Blueknight Energy Partners, L.P",Energy,Oil & Gas Midstream,NASDAQ,USD,2.04,81.59,2.23,,12.70%,7,1.53,-3.27,inf,2.04,5.21,1.48,0,0.26,0.99,0.0,2.4,7.84%,0.00%,-2.25%,0.00%,12.44%,7.61%,-1.90%,0.62,0.47,1.19,0.0,3.5/8.0,7.5/9.0,10.0/12.0,7
NS,NuStar Energy L.P,Energy,Oil & Gas Midstream,NYSE,USD,15.49,1570.69,2.59,,7.73%,5,0.59,-2.51,inf,0.0,8.74,2.87,0,1.05,3.93,0.0,,12.91%,0.00%,-3.96%,-9.58%,6.03%,5.29%,-16.56%,0.28,0.23,0.23,99.9,2.25/8.0,2.5/9.0,5.0/12.0,14
AMKR,"Amkor Technology, Inc",Technology,Semiconductors,NASDAQ,USD,18.47,3649.36,1.63,98.89%,10.77%,5,2.09,-2.84,1.86,11.76,5.07,5.1,0,0.75,0.79,0.74,3.19,0.00%,0.00%,2.63%,6.37%,5.65%,8.55%,2.98%,1.89,1.65,0.88,15.06,3.0/8.0,5.0/9.0,12.5/12.0,11
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,NASDAQ,USD,51.13,1685.25,1.05,152.05%,7.68%,6,8.55,-2.3,3.14,16.13,16.39,13.27,0,3.07,2.54,0.0,,2.74%,46.60%,9.40%,12.05%,19.63%,7.01%,14.08%,4.3,3.3,0.67,2.76,6.75/8.0,5.5/9.0,9.0/12.0,9
DAC,Danaos Corporation,Industrials,Marine Shipping,NYSE,USD,28.03,492.89,1.73,24.48%,12.75%,6,0.59,-2.71,0.56,3.45,5.12,2.07,0,1.09,3.4,1.58,2.79,0.00%,0.00%,4.89%,16.69%,7.46%,6.13%,29.35%,0.85,0.75,0.17,23.41,1.25/8.0,4.0/9.0,12.5/12.0,10
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,NASDAQ,USD,11.04,935.08,0.83,,4.51%,6,-0.17,-3.41,0.62,0.0,28.46,7.73,0,2.04,8.74,1.69,1.25,0.00%,0.00%,-4.49%,-13.07%,2.43%,4.49%,-47.23%,0.26,0.18,0.1,68.25,1.0/8.0,7.0/9.0,7.0/12.0,11
TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,NYSE,USD,19.72,1054.9,1.58,84.94%,4.12%,5,0.57,-2.38,0.84,18.56,8.97,2.67,0,1.64,6.62,3.02,1.22,0.00%,0.00%,1.14%,4.60%,3.73%,5.49%,8.27%,1.41,1.18,0.14,3.29,0.75/8.0,3.0/9.0,8.5/12.0,14
SB,"Safe Bulkers, Inc",Industrials,Marine Shipping,NYSE,USD,1.73,133.9,0.95,,1.20%,3,0.55,-2.16,0.28,0.0,7.19,2.43,0,0.67,3.36,1.27,1.63,0.00%,0.00%,0.40%,0.93%,4.27%,4.94%,2.20%,1.56,1.41,0.18,16.46,0.0/8.0,6.0/9.0,9.0/12.0,14
LPG,Dorian LPG Ltd,Energy,Oil & Gas Midstream,NYSE,USD,11.86,616.72,1.27,48.48%,11.13%,7,1.19,-2.32,0.63,7.99,5.04,3.74,0,2.0,3.46,0.65,5.03,0.00%,0.00%,6.78%,11.84%,10.02%,6.45%,33.54%,1.64,1.54,0.2,75.5,4.75/8.0,8.5/9.0,12.5/12.0,5
GASS,StealthGas Inc,Industrials,Marine Shipping,NASDAQ,USD,2.65,91.65,1.71,22.73%,6.66%,7,0.43,-1.35,0.16,6.98,7.02,1.48,0,0.64,3.04,0.65,1.1,0.00%,0.00%,0.21%,0.37%,2.41%,6.26%,1.44%,1.16,1.09,0.14,56.0,3.5/8.0,5.5/9.0,14.0/12.0,10
KNOP,KNOT Offshore Partners LP,Industrials,Marine Shipping,NYSE,USD,17.32,496.98,1.26,,8.15%,6,0.56,-3.87,inf,8.26,7.65,2.91,0,1.78,5.45,0.0,2.51,12.01%,120.90%,2.84%,7.04%,6.95%,6.02%,17.98%,0.51,0.47,0.16,75.0,1.5/8.0,9.0/9.0,10.0/12.0,6
FRO,Frontline Ltd,Energy,Oil & Gas Midstream,NYSE,USD,6.06,1194.24,0.54,28.40%,16.31%,8,0.53,-2.85,0.79,2.26,16.1,1.74,0,0.86,2.73,1.12,2.52,28.05%,62.30%,4.13%,10.47%,6.76%,4.51%,14.62%,0.53,0.33,0.28,5.11,2.75/8.0,7.5/9.0,9.0/12.0,8
EURN,Euronav NV,Energy,Oil & Gas Midstream,NYSE,USD,8.0,1704.0,0.16,28.77%,19.28%,8,1.13,-2.83,0.74,2.49,7.13,1.6,0,1.18,2.58,0.72,2.03,19.62%,48.90%,2.71%,4.91%,4.69%,3.41%,12.04%,2.54,1.85,0.22,6.78,4.75/8.0,6.5/9.0,12.5/12.0,8
STNG,Scorpio Tankers Inc,Energy,Oil & Gas Midstream,NYSE,USD,12.19,671.4,1.16,20.94%,7.18%,7,0.08,-3.53,0.34,3.58,14.39,1.42,0,0.67,4.84,0.62,0.73,3.28%,12.40%,-0.97%,-2.54%,2.65%,6.23%,-6.88%,0.62,0.58,0.14,60.24,3.0/8.0,4.0/9.0,12.0/12.0,11
TNK,Teekay Tankers Ltd,Energy,Oil & Gas Midstream,NYSE,USD,10.75,374.34,0.33,16.77%,18.52%,8,0.58,-2.77,0.38,1.67,7.06,0.93,0,0.35,1.66,0.62,1.98,0.00%,0.00%,1.88%,4.27%,4.24%,4.46%,4.38%,1.51,1.04,0.43,21.32,4.25/8.0,4.5/9.0,13.0/12.0,10
TNP,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,NYSE,USD,8.63,160.6,0.63,16.40%,10.63%,7,0.47,-2.79,0.11,4.19,8.34,0.64,0,0.23,2.57,1.06,1.64,5.79%,37.30%,-0.88%,-1.93%,3.72%,4.39%,-4.69%,1.12,0.69,0.19,27.64,2.75/8.0,5.0/9.0,14.0/12.0,10
TRTN,Triton International Limited,Industrials,Rental & Leasing Services,NYSE,USD,48.28,3444.21,1.67,109.76%,6.27%,5,0.88,-2.96,1.36,12.81,7.37,3.57,0,2.5,6.82,2.61,2.12,4.31%,58.60%,3.41%,15.66%,6.35%,6.17%,23.69%,6.42,4.85,0.14,0.0,2.5/8.0,8.5/9.0,11.5/12.0,6
NNA,Navios Maritime Acquisition Corporation,Energy,Oil & Gas Midstream,NYSE,USD,3.54,48.75,2.13,8.12%,10.92%,8,-0.17,-2.51,0.16,1.12,13.06,0.52,0,0.13,3.28,2.75,0.55,33.90%,42.70%,-4.13%,-18.93%,3.08%,7.88%,-23.46%,0.47,0.39,0.17,20.2,1.75/8.0,1.5/9.0,11.0/12.0,14
GSL,"Global Ship Lease, Inc",Industrials,Marine Shipping,NYSE,USD,12.91,214.02,1.97,124.56%,13.30%,5,0.28,-2.2,0.53,52.36,5.37,2.04,0,0.76,3.09,2.21,1.49,0.00%,0.00%,1.36%,4.86%,8.98%,9.26%,6.73%,1.25,1.11,0.2,23.5,0.0/8.0,7.0/9.0,11.0/12.0,10
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,NYSE,USD,3.28,107.91,1.17,32.34%,5.39%,8,0.33,-2.97,0.33,7.15,19.65,2.0,0,0.45,2.8,0.63,0.67,1.52%,10.90%,-2.83%,-6.80%,2.14%,5.83%,-9.94%,1.62,1.35,0.28,17.04,2.5/8.0,5.0/9.0,13.0/12.0,12
STLD,"Steel Dynamics, Inc",Basic Materials,Steel,NASDAQ,USD,38.44,7853.31,1.41,133.32%,9.40%,4,3.95,-2.84,1.93,16.2,6.18,6.24,0,0.84,0.88,0.67,7.77,2.58%,43.40%,8.40%,16.75%,13.45%,7.89%,6.41%,4.22,2.47,1.31,5.04,5.5/8.0,8.0/9.0,5.0/12.0,7
WOR,"Worthington Industries, Inc",Industrials,Metal Fabrication,NYSE,USD,54.3,2986.5,1.09,148.44%,5.92%,6,3.26,-3.41,3.64,5.18,10.13,7.6,0,1.06,0.85,0.85,3.59,1.79%,9.20%,3.25%,9.54%,4.55%,6.50%,2.58%,2.53,1.28,1.26,5.89,3.0/8.0,2.0/9.0,12.0/12.0,16
TX,Ternium S.A,Basic Materials,Steel,NYSE,USD,28.75,5699.68,1.29,98.90%,6.87%,4,2.67,-2.8,0.86,22.63,4.57,3.17,0,0.68,0.86,0.25,9.83,0.00%,0.00%,4.43%,8.68%,5.92%,6.89%,5.54%,2.36,1.14,0.8,3.49,4.0/8.0,7.0/9.0,9.5/12.0,9
IIIN,"Insteel Industries, Inc",Industrials,Metal Fabrication,NASDAQ,USD,27.48,522.12,1.54,137.55%,13.15%,6,7.14,-2.66,1.97,19.7,6.83,12.73,0,1.05,0.54,0.0,,0.44%,8.70%,6.03%,7.44%,8.50%,9.97%,4.02%,3.67,2.28,1.5,5.96,4.75/8.0,2.5/9.0,13.5/12.0,10
CMC,Commercial Metals Company,Basic Materials,Steel,NYSE,USD,21.23,2568.83,1.22,78.55%,13.79%,5,3.4,-3.06,1.36,9.88,5.05,4.06,0,0.47,0.55,0.57,7.1,2.26%,22.30%,7.13%,15.91%,11.35%,6.79%,5.10%,2.97,1.91,1.4,6.88,4.5/8.0,7.0/9.0,12.0/12.0,5
NRG,"NRG Energy, Inc",Utilities,Utilities-Independent Power Producers,NYSE,USD,41.93,9312.4,0.99,190.99%,8.39%,7,1.42,-1.09,5.62,2.35,9.77,4.9,0,1.01,1.75,3.55,3.17,2.22%,5.90%,38.33%,0.00%,13.57%,6.55%,45.19%,1.3,0.58,0.85,18.37,3.0/8.0,5.5/9.0,11.0/12.0,11
VST,Vistra Corp,Utilities,Utilities-Independent Power Producers,NYSE,USD,20.85,9830.0,0.91,134.31%,9.63%,6,0.88,-2.59,1.24,10.96,6.06,3.01,0,0.83,1.88,1.4,3.53,2.54%,29.60%,3.53%,11.73%,5.98%,5.23%,7.86%,0.9,0.36,0.45,16.51,3.0/8.0,7.0/9.0,12.0/12.0,6
SPKE,"Spark Energy, Inc",Utilities,Utilities-Regulated Electric,NASDAQ,USD,11.04,143.55,0.69,,36.74%,6,2.62,-3.96,1.02,7.03,2.95,1.45,0,0.23,0.34,0.87,2.67,6.52%,63.00%,0.08%,0.74%,4.93%,5.21%,0.04%,1.66,1.21,1.79,175.71,2.0/8.0,2.0/9.0,14.5/12.0,12
ARTNA,Artesian Resources Corporation,Utilities,Utilities-Regulated Water,NASDAQ,USD,37.89,333.72,0.01,138.57%,5.86%,5,0.85,-2.4,2.09,20.17,12.57,16.69,0,3.84,5.49,0.96,3.57,2.64%,55.80%,2.74%,9.52%,3.38%,1.67%,17.85%,0.56,0.34,0.15,43.0,1.25/8.0,6.0/9.0,3.5/12.0,11
PICO,"PICO Holdings, Inc",Utilities,Utilities-Regulated Water,NASDAQ,USD,9.37,177.65,1.0,245.63%,1.96%,7,34.79,-2.32,1.0,42.53,17.03,19.74,0,11.1,12.77,0.0,,0.00%,0.00%,6.38%,6.50%,7.27%,6.75%,40.28%,69.67,58.8,0.16,2.0,6.25/8.0,7.5/9.0,9.0/12.0,7
NWPX,Northwest Pipe Company,Industrials,Metal Fabrication,NASDAQ,USD,30.8,283.0,0.87,74.16%,10.19%,7,5.12,-2.79,1.14,10.84,6.61,4.35,0,0.98,1.05,0.0,,0.00%,0.00%,9.60%,11.96%,10.06%,5.85%,9.99%,4.69,3.85,0.96,6.63,7.0/8.0,6.0/9.0,16.0/12.0,5
RADA,RADA Electronic Industries Ltd,Industrials,Aerospace & Defense,NASDAQ,USD,11.03,419.25,1.09,757.71%,1.02%,5,10.4,,10.23,139.52,-195.41,0.0,0,6.26,2.92,0.0,No Debt,0.00%,0.00%,-3.43%,-4.85%,-6.56%,7.22%,-4.58%,2.96,1.82,0.75,2.0,5.0/8.0,4.0/9.0,3.5/12.0,17
PFE,Pfizer Inc,Healthcare,Drug Manufacturers-General,NYSE,USD,37.28,207019.44,0.64,,5.28%,5,2.53,-2.39,3.28,23.79,9.7,16.5,0,4.26,5.04,0.83,8.84,4.02%,96.70%,9.96%,25.72%,8.49%,4.31%,31.44%,0.88,0.58,0.32,1.29,2.75/8.0,7.0/9.0,4.0/12.0,9
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,NYSE,USD,71.46,89076.68,0.81,,8.26%,6,1.89,-2.34,1.39,11.21,10.64,5.97,0,0.33,0.66,1.07,3.95,2.80%,33.10%,3.17%,10.87%,4.67%,3.20%,2.58%,0.94,0.52,1.23,12.44,2.25/8.0,2.5/9.0,10.0/12.0,14
GME,GameStop Corp,Consumer Cyclical,Specialty Retail,NYSE,USD,147.98,9618.7,1.43,,-19.28%,5,5.36,-2.18,15.72,0.0,-3.52,48.34,0,1.86,0.2,0.69,Exposed,0.00%,0.00%,-13.72%,-48.35%,-0.76%,8.82%,-7.28%,1.32,0.52,1.88,4.32,4.5/8.0,0.5/9.0,3.0/12.0,21
AMC,"AMC Entertainment Holdings, Inc",Communication Services,Entertainment,NYSE,USD,4.96,222.6,2.5,,-8.92%,3,0.2,-2.71,0.18,0.0,17.5,0.0,0,0.09,4.29,3.92,0.69,4.64%,0.00%,-1.29%,-11.42%,2.00%,4.40%,-2.73%,0.35,0.27,0.47,54.19,1.75/8.0,3.5/9.0,5.0/12.0,15
ORCL,Oracle Corporation,Technology,Software-Infrastructure,NYSE,USD,62.55,196844.85,0.75,,7.42%,7,2.04,-2.58,16.3,18.99,11.99,14.09,0,5.0,5.18,5.93,7.12,1.53%,29.10%,9.04%,59.87%,14.89%,4.63%,25.94%,3.03,2.83,0.35,0.0,2.75/8.0,5.5/9.0,8.0/12.0,10
HCC,"Warrior Met Coal, Inc",Basic Materials,Coking Coal,NYSE,USD,23.02,1087.32,1.31,,2.84%,5,,-3.58,1.42,59.01,2.49,10.16,0,1.4,1.59,0.44,13.21,0.87%,54.00%,22.03%,40.82%,30.28%,7.93%,23.79%,3.44,2.5,0.93,9.69,5.0/8.0,6.5/9.0,7.0/12.0,6
GPP,Green Plains Partners LP,Energy,Oil & Gas Midstream,NASDAQ,USD,9.77,182.85,0.81,,10.67%,5,1.08,-2.53,0.0,4.5,8.67,4.06,0,2.23,5.6,0.0,,12.18%,68.00%,43.52%,0.00%,31.65%,5.40%,49.34%,0.11,0.11,0.88,0.0,2.25/8.0,9.0/9.0,9.0/12.0,6
NOA,North American Construction Group Ltd,Energy,Oil & Gas Equipment & Services,NYSE,USD,9.21,316.16,1.45,71.63%,8.92%,8,1.17,-2.6,1.76,6.55,5.02,1.89,0,0.57,1.48,1.84,2.81,1.74%,10.30%,4.98%,22.36%,8.08%,6.52%,5.13%,0.75,0.58,0.97,35.6,3.75/8.0,8.0/9.0,8.5/12.0,7
PDS,Precision Drilling Corporation,Energy,Oil & Gas Drilling,NYSE,USD,19.85,230.86,5.2,,-0.61%,6,0.16,-3.52,0.19,0.0,4.45,1.0,0,0.27,1.78,0.93,0.39,0.00%,0.00%,0.19%,0.43%,1.42%,11.08%,0.43%,1.93,1.48,0.45,42.03,3.5/8.0,6.5/9.0,13.0/12.0,8
BNTX,BioNTech SE,Healthcare,Biotechnology,NASDAQ,USD,116.1,19646.32,0.0,,-4.39%,3,48.68,-2.61,50.78,0.0,-59.65,0.0,0,152.96,52.48,0.0,No Debt,0.00%,0.00%,-24.69%,-47.14%,-57.02%,0.75%,-164.89%,4.05,3.92,0.15,1.9,5.0/8.0,4.5/9.0,3.0/12.0,12
PACB,"Pacific Biosciences of California, Inc",Healthcare,Diagnostics & Research,NASDAQ,USD,34.18,4072.58,1.32,,-12.26%,6,14.75,-2.85,74.05,0.0,-11.1,254.54,0,50.91,9.99,0.29,No Debt,0.00%,0.00%,-52.87%,-99.58%,-139.31%,8.67%,-92.57%,1.65,1.31,0.57,3.61,6.0/8.0,2.0/9.0,4.0/12.0,17
NVS,Novartis AG,Healthcare,Drug Manufacturers-General,NYSE,USD,89.76,206088.96,0.54,,4.17%,4,2.22,-2.71,3.64,25.52,14.1,15.1,0,4.13,4.88,0.63,11.02,3.44%,87.70%,6.45%,14.41%,7.32%,3.74%,16.18%,0.9,0.65,0.4,2.27,3.5/8.0,6.0/9.0,4.5/12.0,10
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers-General,NYSE,USD,62.21,136838.18,0.65,,2.59%,4,1.86,-1.9,2.65,0.0,18.71,11.02,0,3.47,3.5,0.91,9.01,2.89%,0.00%,4.17%,10.48%,5.87%,4.18%,13.15%,1.6,1.26,0.32,2.94,1.0/8.0,7.0/9.0,6.0/12.0,13
ONVO,"Organovo Holdings, Inc",Healthcare,Diagnostics & Research,NASDAQ,USD,13.33,93.31,0.84,,-90.09%,3,12.75,-5.18,3.46,0.0,-1.11,0.0,0,0.0,0.0,0.0,No Debt,0.00%,0.00%,-54.18%,-59.46%,-700.00%,5.79%,-852.00%,15.65,15.18,0.06,0.0,6.0/8.0,3.5/9.0,7.0/12.0,13
INCY,Incyte Corporation,Healthcare,Biotechnology,NASDAQ,USD,90.92,18961.64,0.96,,-1.83%,2,14.88,-2.91,7.3,0.0,31.27,0.0,0,7.72,6.91,0.01,,0.00%,0.00%,14.72%,19.76%,34.84%,6.48%,20.70%,4.83,4.73,0.71,12.67,8.0/8.0,7.5/9.0,5.5/12.0,7
IONS,"Ionis Pharmaceuticals, Inc",Healthcare,Biotechnology,NASDAQ,USD,58.97,7915.6,1.42,535.67%,1.55%,6,3.97,-0.33,5.38,111.91,17.33,36.65,0,8.48,7.65,0.54,7.47,0.00%,0.00%,10.05%,23.54%,48.09%,9.01%,26.42%,9.97,9.39,0.38,0.3,3.75/8.0,9.0/9.0,6.5/12.0,7
BEAM,Beam Therapeutics Inc,Healthcare,Biotechnology,NASDAQ,USD,99.0,4082.0,0.0,,0.00%,2,41.63,-0.96,40.42,0.0,0.0,0.0,0,0.0,0.0,0.05,,0.00%,0.00%,-56.35%,0.00%,-130.43%,0.75%,0.00%,3.24,3.15,0.0,0.0,4.5/8.0,2.5/9.0,5.5/12.0,15
