Sector,Industry,PE Ratio,PE Ratio without NRI,Shiller PE Ratio,EV-to-EBIT,EV-to-EBITDA,EV-to-Revenue,PS Ratio,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,Price-to-Median-PS-Value,Dividend Yield %,Dividend Payout Ratio,Gross Margin %,Net Margin %,Operating Margin %,Pre-Tax Margin %,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Altman Z-Score,Piotroski F-Score,Beneish M-Score,Debt-to-Equity,Cash-to-Debt,Equity-to-Asset,Days Sales Outstanding,Days Inventory,Days Payable,Cash Conversion Cycle,Forward Rate of Return (Yacktman) %,Current Ratio,Quick Ratio,Interest Coverage,Beta,5-Year Revenue Growth Rate,10-Year Revenue Growth Rate
Industrials,Conglomerates,17.21,16.17,14.91,9.92,8.47,1.38,0.85,1.07,1.13,10.18,7.7,1.01,0.0231,0.36,0.2493,0.0172,0.0409,0.031,0.0264,0.0086,0.0817,0.0203,0.051100000000000007,1.66,5,-2.68,0.74,0.48,0.41,59.94,72.58,54.65,72.69,0.060700000000000004,1.51,1.15,4.02,0.89,0.0335,0.0195
Industrials,Construction,14.24,14.2,13.97,8.6,7.71,0.91,0.67,1.09,1.19,9.22,7.57,1.0,0.0242,0.32,0.19140000000000001,0.0321,0.0537,0.0453,0.0604,0.024300000000000002,0.1409,0.047,0.0582,2.17,5,-2.54,0.46,0.7,0.45,76.17,57.33,74.67,60.29,0.075,1.55,1.3,8.14,0.95,0.032,0.0345
Industrials,Farm & Heavy Construction Machinery,19.46,19.79,20.98,12.12,10.09,1.03,0.82,1.58,1.8,10.88,9.1,1.07,0.0167,0.33,0.2306,0.0226,0.0556,0.0332,0.0453,0.017,0.086,0.0444,0.0673,2.2,5,-2.78,0.5,0.62,0.45,74.56,124.94,77.67,128.67,0.0694,1.73,1.11,7.49,1.08,0.055,0.04
Industrials,Industrial Distribution,18.63,18.32,14.25,11.3,8.28,0.63,0.58,1.12,1.23,8.46,6.36,1.09,0.0252,0.36,0.22760000000000002,0.0263,0.0401,0.0323,0.066,0.028300000000000002,0.1316,0.0571,0.053200000000000004,3.06,5,-2.66,0.4,0.59,0.46,56.66,81.32,54.36,80.93,0.1051,1.84,1.2,9.83,0.92,0.036000000000000004,0.034
Industrials,Industrial Products,25.36,25.42,19.81,12.76,10.48,1.4,1.32,1.75,1.91,18.57,13.12,1.07,0.0167,0.37,0.2651,0.037200000000000004,0.06,0.0499,0.051,0.027000000000000003,0.1003,0.04650000000000001,0.0666,2.8,5,-2.7,0.32,1.04,0.55,80.87,116.1,73.74,124.47,0.0704,1.95,1.39,12.09,1.04,0.038,0.037000000000000005
Industrials,Transportation,17.79,17.89,16.67,10.74,8.42,1.61,0.89,1.2,1.27,10.01,6.21,1.06,0.022099999999999998,0.38,0.15289999999999998,0.0176,0.045,0.0288,0.032799999999999996,0.0129,0.0584,0.0252,0.0575,1.66,5,-2.85,0.67,0.33,0.43,43.02,10.81,37.8,19.56,0.0753,1.18,1.09,4.23,0.99,0.031,0.026000000000000002
Industrials,Waste Management,18.93,18.66,20.11,11.88,9.33,2.34,1.63,1.75,2.49,13.18,10.0,1.03,0.022799999999999997,0.37,0.2732,0.0375,0.0669,0.052300000000000006,0.054299999999999994,0.0213,0.1174,0.0348,0.057699999999999994,1.82,5,-2.64,0.57,0.38,0.41,68.61,25.56,69.42,30.84,0.092,1.29,1.18,5.36,0.94,0.046,0.038
Real Estate,Overall,15.57,15.48,11.88,13.29,12.94,7.49,4.24,0.93,0.94,13.83,13.11,0.93,0.042,0.59,0.5167,0.1158,0.21739999999999998,0.17010000000000003,0.040999999999999995,0.0173,0.15289999999999998,0.026600000000000002,0.044000000000000004,1.12,5,-2.36,0.77,0.19,0.48,32.48,756.61,112.64,110.15,0.047400000000000005,1.58,0.92,4.03,0.84,0.035,0.031
Real Estate,Real Estate,13.89,13.66,10.86,11.33,10.93,4.56,2.85,0.89,0.9,11.38,11.56,0.92,0.0321,0.37,0.3815,0.07730000000000001,0.1518,0.1219,0.0398,0.015300000000000001,0.1186,0.0203,0.0418,1.21,5,-2.22,0.75,0.3,0.44,35.08,843.68,108.51,419.77,0.045700000000000005,1.75,0.89,4.75,0.84,0.042,0.0385
Real Estate,REITs,18.89,18.55,15.03,20.46,17.47,12.04,7.26,0.98,0.99,16.37,14.21,0.96,0.0516,1.0,0.6849,0.3272,0.49950000000000006,0.3398,0.0437,0.0223,0.9299,0.0352,0.046799999999999994,1.0,5,-2.48,0.8,0.08,0.52,26.13,102.6,123.42,-28.88,0.049400000000000006,1.15,1.07,3.26,0.83,0.024,0.02
Technology,Overall,28.7,28.32,28.94,10.87,9.6,2.02,2.06,2.52,2.89,21.54,15.98,1.28,0.0155,0.39,0.3053,0.0287,0.045899999999999996,0.037599999999999995,0.052199999999999996,0.0253,0.1216,0.0454,0.0704,3.55,5,-2.71,0.27,1.71,0.56,68.92,72.66,59.36,68.17,0.0965,2.01,1.64,18.86,1.07,0.047,0.037000000000000005
Technology,Software,31.87,31.26,34.74,9.82,9.72,2.89,2.93,3.61,5.02,23.32,17.97,1.26,0.0121,0.35,0.4595,0.0296,0.0508,0.0405,0.0557,0.023,0.2151,0.044199999999999996,0.0695,4.13,5,-2.77,0.24,2.49,0.56,62.05,18.29,49.81,34.33,0.1305,1.94,1.81,24.96,0.99,0.07200000000000001,0.059000000000000004
Technology,Hardware,25.5,25.64,23.73,10.63,9.01,1.32,1.38,1.87,2.09,19.04,14.36,1.23,0.0187,0.41,0.24760000000000001,0.0255,0.0387,0.032400000000000005,0.047400000000000005,0.0242,0.0993,0.0429,0.0676,3.12,5,-2.67,0.3,1.33,0.56,74.31,85.0,67.22,94.62,0.07339999999999999,1.97,1.45,15.48,1.07,0.031,0.027000000000000003
Technology,Semiconductors,30.45,29.7,36.62,13.83,12.53,2.47,2.39,2.53,2.71,24.5,17.11,1.49,0.0141,0.41,0.2779,0.0443,0.0641,0.051699999999999996,0.0611,0.0321,0.1106,0.0553,0.0801,3.77,5,-2.65,0.29,1.57,0.61,68.71,91.95,53.73,101.0,0.0795,2.36,1.81,20.27,1.3,0.0405,0.028999999999999998
Utilities,Overall,16.64,16.75,15.92,13.68,9.78,2.92,1.77,1.47,1.72,11.45,7.46,1.07,0.035,0.53,0.3478,0.0737,0.1509,0.11,0.07440000000000001,0.025,0.0888,0.0387,0.046900000000000004,1.27,5,-2.59,0.91,0.24,0.36,55.63,24.73,67.47,17.61,0.0546,1.13,1.05,3.41,0.66,0.027999999999999997,0.027999999999999997
Utilities,Utilities - Independent Power Producers,16.97,16.65,14.17,13.99,9.94,4.26,2.77,1.46,1.6,8.8,7.46,1.07,0.0319,0.49,0.4132,0.0712,0.17329999999999998,0.11109999999999999,0.057699999999999994,0.018799999999999997,0.0818,0.0354,0.0527,1.19,5,-2.52,1.03,0.21,0.38,71.55,30.48,72.68,38.54,0.0825,1.31,1.19,2.83,0.73,0.031,0.027000000000000003
Utilities,Utilities - Regulated,16.54,16.92,16.51,13.33,9.7,2.29,1.48,1.47,1.78,13.46,7.48,1.08,0.0356,0.54,0.3193,0.0757,0.1405,0.10980000000000001,0.0819,0.0278,0.0968,0.04,0.0444,1.32,5,-2.62,0.86,0.25,0.35,50.32,23.25,66.02,12.17,0.04019999999999999,1.06,0.99,3.87,0.62,0.027000000000000003,0.027999999999999997
